data,turno,premio1,premio2,premio3,premio4,premio5,premio6,premio7,premio8,premio9,premio10
08/08/2022,Tarde,5736,0349,7150,0149,5561,3334,1367,6787,5150,6805
08/08/2022,Manhã,9438,2377,1567,5074,5054,0814,4632,0776,7656,1365
06/08/2022,Noite,2137,9260,4139,7587,8986,7341,1478,0289,4677,2290
06/08/2022,Tarde,2001,1476,5094,3208,2464,6272,8577,6166,6764,6097
06/08/2022,Manhã,8358,7207,8576,8843,1705,2436,3690,5341,8756,1719
05/08/2022,Noite,2996,9714,3434,1039,6475,5009,7211,7796,9560,4805
05/08/2022,Noite,2996,9714,3434,1039,6475,5009,7211,7796,9560,4805
05/08/2022,Tarde,7409,8497,3123,2639,0039,9620,0387,4296,6497,0212
05/08/2022,Manhã,8655,7887,9294,8886,6150,4010,2929,7966,6231,7458
04/08/2022,Noite,5330,5037,4628,1420,9414,8630,4281,8795,8804,1102
04/08/2022,Tarde,3468,0669,5780,3530,9945,4493,1376,2373,9667,6050
04/08/2022,Manhã,1836,5976,8781,8887,6511,5341,9162,4925,9293,9443
03/08/2022,Noite,7151,7248,2872,0368,4356,6825,8839,3258,8856,2032
03/08/2022,Tarde,6548,3501,9215,2254,9963,1353,3056,8416,2480,8375
03/08/2022,Manhã,7791,5976,8084,3278,3384,2514,1058,8658,5513,1673
02/08/2022,Noite,7627,0706,5888,3709,0088,7372,1336,2590,5206,5678
02/08/2022,Tarde,0616,8318,1690,7327,4752,7529,2315,0784,1045,9860
02/08/2022,Manhã,1642,6755,7569,8174,8401,8105,3268,8134,8169,4719
01/08/2022,Noite,0473,6959,4330,4320,0827,9706,9204,3201,3147,9081
01/08/2022,Tarde,3481,8508,4188,4902,4803,6695,1929,5350,5009,8742
01/08/2022,Manhã,6700,8263,8347,9514,7676,9804,9519,5136,0949,6027
30/07/2022,Noite,4863,4785,9760,6985,9245,6604,7267,9915,2699,9515
30/07/2022,Tarde,0990,3722,5667,7947,9002,8453,4333,6272,4658,4530
30/07/2022,Manhã,8348,7071,6333,8856,0439,3732,1272,8889,3392,7147
29/07/2022,Noite,6494,0706,9449,3543,8523,2545,0091,9296,5721,9770
